[2026-03-04 06:11:07] [FILE_UPLOAD_SUCCESS] IP: 182.4.71.107 | Event: FILE_UPLOAD_SUCCESS | Details: foto_siswa: 39ceb346bf17f2de458d22c39fd5a7d4_1772579467.jpg
[2026-03-04 06:11:07] [INVALID_FILE_UPLOAD] IP: 182.4.71.107 | Event: INVALID_FILE_UPLOAD | Details: file_nilai_rata: Invalid file type. Allowed: application/pdf (Type: image/jpeg)
[2026-03-04 06:11:07] [INVALID_FILE_UPLOAD] IP: 182.4.71.107 | Event: INVALID_FILE_UPLOAD | Details: file_ranking: Invalid file type. Allowed: application/pdf (Type: image/jpeg)
[2026-03-04 06:11:07] [INVALID_FILE_UPLOAD] IP: 182.4.71.107 | Event: INVALID_FILE_UPLOAD | Details: file_akta: Invalid file type. Allowed: application/pdf (Type: image/jpeg)
[2026-03-04 06:11:07] [INVALID_FILE_UPLOAD] IP: 182.4.71.107 | Event: INVALID_FILE_UPLOAD | Details: file_nisn: Invalid file type. Allowed: application/pdf (Type: image/jpeg)
[2026-03-04 06:46:24] [FILE_UPLOAD_SUCCESS] IP: 2404:c0:1050::5:7fd2 | Event: FILE_UPLOAD_SUCCESS | Details: foto_siswa: fbe258b851a0863029e1558e5b7a0f97_1772581584.jpeg
[2026-03-04 06:46:24] [FILE_UPLOAD_SUCCESS] IP: 2404:c0:1050::5:7fd2 | Event: FILE_UPLOAD_SUCCESS | Details: file_nilai_rata: 599d91f8d630abcd2cf28586e1554472_1772581584.pdf
[2026-03-04 06:46:24] [FILE_UPLOAD_SUCCESS] IP: 2404:c0:1050::5:7fd2 | Event: FILE_UPLOAD_SUCCESS | Details: file_surat_tahfidz: 337b9e09a17847ed198141b07df0c83f_1772581584.pdf
[2026-03-04 06:46:24] [FILE_UPLOAD_SUCCESS] IP: 2404:c0:1050::5:7fd2 | Event: FILE_UPLOAD_SUCCESS | Details: file_sertifikat_tahfidz: 87eb8a9de5ba241b33154f889d6b5f44_1772581584.pdf
[2026-03-04 06:46:24] [FILE_UPLOAD_SUCCESS] IP: 2404:c0:1050::5:7fd2 | Event: FILE_UPLOAD_SUCCESS | Details: file_akta: 0ea990ed8684d107fb818cdecfe87730_1772581584.pdf
[2026-03-04 06:46:24] [FILE_UPLOAD_SUCCESS] IP: 2404:c0:1050::5:7fd2 | Event: FILE_UPLOAD_SUCCESS | Details: file_nisn: be2ab21292c5dbedd7674910714d0a5a_1772581584.pdf
[2026-03-04 07:49:47] [FILE_UPLOAD_SUCCESS] IP: 2001:448a:8080:14b:d52:119:6e5d:26c9 | Event: FILE_UPLOAD_SUCCESS | Details: foto_siswa: 0f35cb00b39c566e9dd6c831d5e2541a_1772585387.jpg
[2026-03-04 07:49:47] [FILE_UPLOAD_SUCCESS] IP: 2001:448a:8080:14b:d52:119:6e5d:26c9 | Event: FILE_UPLOAD_SUCCESS | Details: file_nilai_rata: d83e64b5748cb07ca902c5b228f2622e_1772585387.pdf
[2026-03-04 07:49:47] [FILE_UPLOAD_SUCCESS] IP: 2001:448a:8080:14b:d52:119:6e5d:26c9 | Event: FILE_UPLOAD_SUCCESS | Details: file_ranking: 398c7c5b22364aac5861130b2e60beee_1772585387.pdf
[2026-03-04 07:49:47] [FILE_UPLOAD_SUCCESS] IP: 2001:448a:8080:14b:d52:119:6e5d:26c9 | Event: FILE_UPLOAD_SUCCESS | Details: file_sertifikat_prestasi: 010b6680a6158614b2d9c6a68e47977e_1772585387.pdf
[2026-03-04 07:49:47] [FILE_UPLOAD_SUCCESS] IP: 2001:448a:8080:14b:d52:119:6e5d:26c9 | Event: FILE_UPLOAD_SUCCESS | Details: file_akta: 583af7ef81df8467b4fb8028eedc5f0d_1772585387.pdf
[2026-03-04 07:49:47] [FILE_UPLOAD_SUCCESS] IP: 2001:448a:8080:14b:d52:119:6e5d:26c9 | Event: FILE_UPLOAD_SUCCESS | Details: file_nisn: a0872916d8584ef1009ab3bbbbb5b677_1772585387.pdf
[2026-03-04 07:50:26] [FILE_UPLOAD_SUCCESS] IP: 2402:8780:1061:1511:78c5:3e67:e75b:1a7e | Event: FILE_UPLOAD_SUCCESS | Details: foto_siswa: 7d6ff3c03e914356b7382cef7b275618_1772585426.jpg
[2026-03-04 07:50:26] [FILE_UPLOAD_SUCCESS] IP: 2402:8780:1061:1511:78c5:3e67:e75b:1a7e | Event: FILE_UPLOAD_SUCCESS | Details: file_nilai_rata: 03e7fb0cef2b32f82fd7808cecb8b70c_1772585426.pdf
[2026-03-04 07:50:26] [FILE_UPLOAD_SUCCESS] IP: 2402:8780:1061:1511:78c5:3e67:e75b:1a7e | Event: FILE_UPLOAD_SUCCESS | Details: file_ranking: 8703083fdeb9846cb2bbef551c60a100_1772585426.pdf
